,St. Bonaventure ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Healy,9,13,9,13,0,0,5,6,0,3,2,3,1,3,4,23,0.38461538461538464,0.6666666666666666
1,Nyla Rueter,3,9,0,3,3,6,6,8,0,6,3,2,0,1,1,15,0.6666666666666666,3.0
2,Emily Michael,2,3,0,0,2,3,0,0,1,5,0,3,0,3,2,6,0.0,0.0
3,Miranda Drummond,5,9,4,4,1,5,0,0,1,2,1,1,0,1,4,11,0.0,1.0
4,Mariah Ruff,2,4,2,3,0,1,0,2,1,4,5,0,0,2,3,4,0.0,2.5
11,School Totals,23,46,17,30,6,16,13,18,4,24,12,10,2,16,23,65,0.2826086956521739,0.75
