,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Deja Kelly,8,15,4,8,4,7,8,8,1,4,4,0,0,4,1,28,0.5333333333333333,1.0
1,Carlie Littlefield,4,7,2,3,2,4,3,4,0,9,4,1,1,2,0,13,0.42857142857142855,2.0
2,Alyssa Ustby,5,11,5,9,0,2,3,3,2,6,0,1,0,5,5,13,0.2727272727272727,0.0
3,Kennedy Todd-Williams,6,12,5,8,1,4,2,4,2,3,2,2,2,1,4,15,0.16666666666666666,2.0
4,Anya Poole,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0.0,0.0
8,School Totals,26,56,17,33,9,23,18,23,9,25,16,5,3,15,16,79,0.32142857142857145,1.0666666666666667
