,Kansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ioanna Chatzileonti,4,8,3,7,1,1,2,2,0,4,2,0,1,1,2,11,0.25,2.0
1,Zakiyah Franklin,6,16,6,13,0,3,1,1,0,5,4,0,0,4,2,13,0.0625,1.0
2,Taiyanna Jackson,4,5,4,5,0,0,0,0,3,3,0,0,3,4,4,8,0.0,0.0
3,Holly Kersgieter,2,4,2,4,0,0,3,5,0,1,1,0,0,4,1,7,0.75,0.25
4,Julie Brosseau,2,5,0,2,2,3,0,0,0,0,1,1,0,0,1,6,0.0,0.0
12,School Totals,26,58,21,47,5,11,8,10,5,17,10,3,4,18,18,65,0.13793103448275862,0.5555555555555556
