,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Edwards,5,13,3,7,2,6,3,4,2,2,0,0,0,0,0,15,0.23076923076923078,0.0
1,Niveen Rasheed,8,22,7,20,1,2,3,5,4,5,6,1,0,6,3,20,0.13636363636363635,1.0
2,Lauren Polansky,1,4,1,4,0,0,0,0,3,2,1,1,0,2,3,2,0.0,0.5
3,Devona Allgood,7,10,7,10,0,0,1,1,2,10,1,1,0,2,2,15,0.1,0.5
4,Kate Miller,3,8,3,4,0,4,0,0,2,0,0,1,0,2,1,6,0.0,0.0
9,School Totals,26,61,23,49,3,12,9,12,14,20,8,5,0,13,10,64,0.14754098360655737,0.6153846153846154
