,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,5,12,3,6,2,6,0,0,1,0,5,2,0,5,3,12,0.0,1.0
1,Lashann Higgs,2,9,2,6,0,3,0,2,0,1,5,2,0,5,0,4,0.0,1.0
2,Ariel Atkins,8,14,4,8,4,6,0,0,3,4,2,2,0,3,3,20,0.0,0.6666666666666666
3,Jatarie White,7,11,7,11,0,0,3,4,0,8,1,0,0,2,3,17,0.2727272727272727,0.5
4,Joyner Holmes,4,9,4,9,0,0,0,0,1,6,2,3,1,2,2,8,0.0,1.0
10,School Totals,32,63,25,47,7,16,4,8,5,24,18,9,1,21,17,75,0.06349206349206349,0.8571428571428571
