,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Naz Hillmon,4,10,4,10,0,0,10,13,5,6,1,1,1,4,1,18,1.0,0.25
1,Emily Kiser,3,7,3,6,0,1,0,1,3,3,3,0,0,3,2,6,0.0,1.0
2,Laila Phelia,4,17,4,12,0,5,0,0,0,4,1,0,0,3,3,8,0.0,0.3333333333333333
3,Danielle Rauch,1,1,1,1,0,0,0,0,1,1,0,3,0,4,1,2,0.0,0.0
4,Leigha Brown,0,3,0,1,0,2,3,4,0,4,3,1,0,3,0,3,1.0,1.0
8,School Totals,16,46,13,32,3,14,15,20,10,24,9,6,2,21,12,50,0.32608695652173914,0.42857142857142855
