,Saint Francis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Leach,2,10,1,7,1,3,4,6,0,0,3,2,0,4,2,9,0.4,0.75
1,Allison Daily,3,10,2,5,1,5,0,0,1,1,0,2,1,1,2,7,0.0,0.0
2,Shene Fleming,0,1,0,1,0,0,0,0,2,3,1,1,0,0,2,0,0.0,0.0
3,Brittany Lilley,2,8,1,5,1,3,5,5,0,2,1,1,0,5,3,10,0.625,0.2
4,Allison Smith,0,1,0,1,0,0,0,0,0,1,2,2,0,2,3,0,0.0,1.0
11,School Totals,16,52,12,37,4,15,12,18,9,17,10,11,1,22,20,48,0.23076923076923078,0.45454545454545453
