,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Glory Johnson,2,9,2,9,0,0,4,4,8,13,1,0,0,5,2,8,0.4444444444444444,0.2
1,Shekinna Stricklen,6,13,5,8,1,5,4,6,4,5,4,2,1,2,2,17,0.3076923076923077,2.0
2,Vicki Baugh,8,11,8,11,0,0,0,0,1,8,0,1,0,2,2,16,0.0,0.0
3,Alicia Manning,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0
4,Briana Bass,1,3,0,1,1,2,0,0,0,1,0,1,0,2,0,3,0.0,0.0
10,School Totals,22,59,18,42,4,17,15,18,16,31,9,7,4,19,10,63,0.2542372881355932,0.47368421052631576
