,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Arike Ogunbowale,8,17,6,13,2,4,5,6,0,4,5,0,0,0,2,23,0.29411764705882354,0.0
1,Jackie Young,7,14,6,13,1,1,6,9,6,5,7,1,2,1,1,21,0.42857142857142855,7.0
2,Marina Mabrey,1,6,1,2,0,4,0,0,0,2,4,1,0,1,1,2,0.0,4.0
3,Brianna Turner,5,7,5,7,0,0,4,5,2,9,0,2,4,1,1,14,0.5714285714285714,0.0
4,Jessica Shepard,9,15,9,15,0,0,1,2,1,8,2,3,1,2,3,19,0.06666666666666667,1.0
12,School Totals,35,73,31,60,4,13,17,25,14,32,20,9,8,10,14,91,0.2328767123287671,2.0
