,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brigitte Ardossi,38,.513,.455,.000,.318,2.8,4.0,3.3,0.0,3.0,0.0,13.8,37.5,100,96
1,Deja Foster,38,.455,.455,.091,.000,11.1,4.0,8.2,17.8,0.0,0.0,15.4,16.8,98,103
2,Alex Montgomery,37,.167,.167,.250,.000,5.7,45.7,22.0,5.2,0.0,3.2,14.3,18.6,44,94
3,Sasha Goodlett,30,.400,.400,.000,.000,14.0,15.4,14.6,0.0,3.8,7.8,28.6,22.9,68,87
4,Jasmine Blain,20,.375,.375,.750,.000,0.0,0.0,0.0,9.5,8.6,0.0,0.0,9.8,101,84
6,Metra Walthour,17,.000,.000,.000,.000,0.0,9.0,3.7,20.5,3.4,0.0,66.7,8.7,24,95
7,Chelsea Regins,10,.500,.500,.000,.000,21.1,30.8,25.0,0.0,5.7,11.8,33.3,14.7,83,76
8,Mo Bennett,8,.000,,,,0.0,57.7,23.4,0.0,0.0,0.0,69.4,8.8,0,95
9,LaQuananisha Adams,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,104
10,Sharena Taylor,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,96
11,School Totals,200,.403,.379,.113,.129,34.2,84.6,54.7,30.4,12.9,11.8,19.6,100.0,75.7,90.0
