,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Sarah Andrews,38,.400,.400,.700,.000,3.3,14.6,8.7,38.3,0.0,3.0,28.6,18.9,70,92,
1,NaLyssa Smith,37,.402,.364,.091,.273,3.4,26.2,14.2,17.2,1.6,3.1,19.6,21.3,74,87,
2,Jordan Lewis,36,.208,.208,.583,.000,10.5,19.3,14.6,37.8,0.0,0.0,29.4,24.3,49,94,
3,Ja'Mee Asberry,29,.251,.167,.889,.222,0.0,23.9,11.4,8.9,4.0,0.0,16.8,21.0,52,84,
4,Queen Egbo,25,.772,.857,.000,.429,15.1,22.2,18.5,0.0,2.3,0.0,26.5,23.3,98,88,
6,Caitlin Bickle,27,.508,.375,.500,1.000,4.7,5.1,4.9,19.2,0.0,4.3,14.8,12.9,107,93,
7,Jaden Owens,9,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.4,0,97,
8,School Totals,201,.394,.361,.481,.222,28.1,89.7,57.4,88.2,5.7,8.6,24.1,100.0,67.1,87.1,
