,Northwestern State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Janelle Perez,4,11,4,7,0,4,0,0,0,2,3,0,0,5,1,8,0.0,0.6
1,Chelsea Rogers,0,5,0,1,0,4,0,0,0,6,5,3,0,2,3,0,0.0,2.5
2,Trudy Armstead,5,9,5,8,0,1,2,2,2,4,0,1,1,2,4,12,0.2222222222222222,0.0
3,Keisha Lee,2,9,2,6,0,3,0,0,0,2,0,0,0,0,2,4,0.0,0.0
4,Presley Owens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
14,School Totals,19,53,16,34,3,19,5,8,3,20,11,6,1,11,18,46,0.09433962264150944,1.0
