,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andraya Carter,3,4,2,2,1,2,0,0,1,1,3,2,0,1,3,7,0.0,3.0
1,Cierra Burdick,2,6,2,6,0,0,4,4,2,5,3,1,1,3,1,8,0.6666666666666666,1.0
2,Meighan Simmons,4,15,3,9,1,6,3,3,0,5,3,1,0,0,2,12,0.2,0.0
3,Bashaara Graves,2,7,2,7,0,0,0,0,5,7,1,0,1,2,1,4,0.0,0.5
4,Isabelle Harrison,5,8,5,8,0,0,2,2,3,1,1,0,1,3,1,12,0.25,0.3333333333333333
9,School Totals,25,62,22,51,3,11,17,18,17,28,18,5,4,12,12,70,0.27419354838709675,1.5
