,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Que Morrison,2,10,2,6,0,4,4,4,0,4,2,1,0,3,4,8,0.4,0.6666666666666666
1,Maya Caldwell,3,12,3,9,0,3,0,0,4,2,3,4,0,1,0,6,0.0,3.0
2,Jenna Staiti,8,16,8,14,0,2,2,4,3,6,1,0,1,3,0,18,0.125,0.3333333333333333
3,Mikayla Coombs,4,10,4,10,0,0,0,0,1,0,4,2,0,3,3,8,0.0,1.3333333333333333
4,Jordan Isaacs,2,3,2,3,0,0,0,0,0,4,2,2,1,0,4,4,0.0,0.0
10,School Totals,21,60,20,47,1,13,7,10,12,19,13,9,4,14,14,50,0.11666666666666667,0.9285714285714286
