,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Naz Hillmon,8,15,8,15,0,0,3,7,6,9,2,0,0,1,3,19,0.2,2.0
1,Akienreh Johnson,2,13,2,7,0,6,2,2,2,6,3,2,0,3,1,6,0.15384615384615385,1.0
2,Leigha Brown,6,14,6,13,0,1,11,11,0,3,5,3,0,6,2,23,0.7857142857142857,0.8333333333333334
3,Hailey Brown,5,9,1,3,4,6,0,0,0,2,0,1,1,1,1,14,0.0,0.0
4,Danielle Rauch,1,6,0,2,1,4,2,2,2,4,3,5,0,1,2,5,0.3333333333333333,3.0
7,School Totals,23,60,17,40,6,20,18,22,11,26,13,13,1,13,10,70,0.3,1.0
