,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordan Walker,2,9,1,5,1,4,0,0,0,7,2,1,0,3,4,5,0.0,0.6666666666666666
1,Rennia Davis,4,17,4,14,0,3,4,4,3,1,1,2,0,1,4,12,0.23529411764705882,1.0
2,Rae Burrell,4,8,3,5,1,3,2,2,2,3,0,1,0,6,2,11,0.25,0.0
3,Tamari Key,2,6,2,6,0,0,3,4,5,4,0,0,4,2,1,7,0.5,0.0
4,Kasiyahna Kushkituah,5,7,5,7,0,0,0,2,1,4,0,1,1,3,2,10,0.0,0.0
8,School Totals,21,62,19,48,2,14,11,14,14,23,5,8,7,16,17,55,0.1774193548387097,0.3125
