,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adrienne Motley,10,18,8,16,2,2,8,10,0,4,1,2,0,1,3,30,0.4444444444444444,1.0
1,Michelle Woods,4,11,2,7,2,4,7,11,1,3,2,1,0,0,3,17,0.6363636363636364,0.0
2,Jessica Thomas,6,12,5,10,1,2,6,10,0,6,1,1,0,1,3,19,0.5,1.0
3,Suriya McGuire,1,3,1,3,0,0,0,0,0,5,0,0,0,1,2,2,0.0,0.0
4,Jassany Williams,0,3,0,3,0,0,0,0,3,2,0,0,2,0,0,0,0.0,0.0
9,School Totals,27,61,20,49,7,12,25,40,10,32,9,4,3,4,19,86,0.4098360655737705,2.25
