,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,5,14,2,7,3,7,4,4,1,3,3,1,0,1,4,17,0.2857142857142857,3.0
1,Jazmine Davis,5,16,3,7,2,9,4,6,1,3,8,0,0,2,4,16,0.25,4.0
2,Aminah Williams,5,12,5,11,0,1,3,5,5,5,1,0,0,1,5,13,0.25,1.0
3,Talia Walton,6,14,4,9,2,5,3,4,0,4,1,0,0,0,4,17,0.21428571428571427,0.0
4,Brianna Ruiz,1,3,1,1,0,2,0,0,0,2,0,0,0,1,2,2,0.0,0.0
9,School Totals,28,69,18,40,10,29,14,19,9,23,17,2,1,6,23,80,0.2028985507246377,2.8333333333333335
