,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Arike Ogunbowale,5,9,4,7,1,2,4,4,3,7,4,0,0,3,2,15,0.4444444444444444,1.3333333333333333
1,Marina Mabrey,7,12,6,8,1,4,0,0,0,1,2,4,1,1,2,15,0.0,2.0
2,Lindsay Allen,6,8,6,8,0,0,2,2,1,7,6,1,0,3,2,14,0.25,2.0
3,Brianna Turner,5,12,5,12,0,0,3,4,3,7,2,0,5,2,0,13,0.25,1.0
4,Erin Boley,2,4,1,1,1,3,0,0,2,2,1,0,0,1,1,5,0.0,1.0
9,School Totals,32,61,28,49,4,12,11,13,14,34,17,6,7,16,15,79,0.18032786885245902,1.0625
