,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Keani Albanez,7,12,3,6,4,6,2,4,1,2,5,1,0,4,4,20,0.16666666666666666,1.25
1,Georgia Stirton,0,6,0,5,0,1,1,2,2,0,4,0,0,3,4,1,0.16666666666666666,1.3333333333333333
2,Sunny Greinacher,12,19,12,19,0,0,0,0,2,9,1,4,1,2,2,24,0.0,0.5
3,Elle Tinkle,2,10,2,8,0,2,3,4,3,4,0,0,1,1,2,7,0.3,0.0
4,Shelby Cheslek,3,7,3,7,0,0,1,1,2,4,1,0,1,1,3,7,0.14285714285714285,1.0
9,School Totals,28,61,24,52,4,9,9,13,11,24,14,5,7,16,21,69,0.14754098360655737,0.875
