,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jada Walker,4,8,3,5,1,3,2,2,1,1,3,6,1,3,2,11,0.25,1.0
1,Jazmine Massengill,3,7,3,7,0,0,0,0,1,3,3,0,0,4,5,6,0.0,0.75
2,Rhyne Howard,4,14,2,8,2,6,7,7,1,7,1,0,0,1,4,17,0.5,1.0
3,Treasure Hunt,0,4,0,2,0,2,5,7,0,2,1,0,0,0,2,5,1.25,0.0
4,Nyah Leveretter,1,1,1,1,0,0,0,2,0,0,0,0,0,2,2,2,0.0,0.0
8,School Totals,20,56,16,41,4,15,18,24,8,20,10,8,1,15,20,62,0.32142857142857145,0.6666666666666666
