,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Niya Johnson,1,3,1,3,0,0,6,8,1,3,8,3,0,4,4,8,2.0,2.0
1,Nina Davis,12,18,12,18,0,0,6,9,2,3,0,0,1,3,2,30,0.3333333333333333,0.0
2,Alexis Jones,5,14,4,11,1,3,4,4,3,6,5,5,0,4,1,15,0.2857142857142857,1.25
3,Alexis Prince,3,4,1,1,2,3,1,2,0,2,2,0,0,0,0,9,0.25,0.0
4,Beatrice Mompremier,1,6,1,6,0,0,0,1,0,1,0,1,1,2,3,2,0.0,0.0
11,School Totals,28,58,23,49,5,9,17,24,12,24,17,10,7,17,18,78,0.29310344827586204,1.0
