,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dara Taylor,4,12,1,8,3,4,0,0,0,4,2,2,0,5,3,11,0.0,0.4
1,Maggie Lucas,3,14,3,9,0,5,0,0,0,5,1,2,0,1,3,6,0.0,1.0
2,Ariel Edwards,7,18,6,16,1,2,7,9,2,0,0,0,0,3,4,22,0.3888888888888889,0.0
3,Talia East,3,5,3,5,0,0,4,5,1,3,2,3,1,4,3,10,0.8,0.5
4,Tori Waldner,1,3,1,3,0,0,0,0,2,3,0,0,1,1,2,2,0.0,0.0
8,School Totals,21,58,17,46,4,12,11,16,8,19,6,7,4,14,18,57,0.1896551724137931,0.42857142857142855
