,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Thomas,2,6,1,3,1,3,0,0,0,0,1,2,0,4,4,5,0.0,0.25
1,Jasmine Thomas,3,9,3,9,0,0,2,2,1,4,1,0,1,4,2,8,0.2222222222222222,0.25
2,Lykendra Johnson,3,4,3,4,0,0,2,2,4,5,0,1,3,1,4,8,0.5,0.0
3,Aisha Jefferson,1,5,1,3,0,2,5,6,1,2,1,2,0,3,2,7,1.0,0.3333333333333333
4,Allyssa DeHaan,1,6,1,6,0,0,2,2,1,0,0,0,0,0,2,4,0.3333333333333333,0.0
10,School Totals,19,55,17,43,2,12,12,15,8,27,9,8,5,18,21,52,0.21818181818181817,0.5
