,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,8,14,7,12,1,2,4,5,1,5,5,1,2,3,2,21,0.2857142857142857,1.6666666666666667
1,Aleighsa Welch,3,7,3,7,0,0,1,2,1,3,2,0,0,3,1,7,0.14285714285714285,0.6666666666666666
2,Khadijah Sessions,1,2,1,2,0,0,2,4,0,3,1,4,0,1,4,4,1.0,1.0
3,Asia Dozier,0,1,0,0,0,1,4,4,0,3,3,0,1,1,1,4,4.0,3.0
4,Elem Ibiam,2,3,2,3,0,0,0,0,0,0,0,0,0,1,2,4,0.0,0.0
10,School Totals,30,49,28,44,2,5,18,27,5,18,14,6,5,11,18,80,0.3673469387755102,1.2727272727272727
