,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ivey Slaughter,1,4,1,4,0,0,6,8,6,1,4,0,1,1,2,8,1.5,4.0
1,Leticia Romero,5,14,5,12,0,2,3,5,1,6,4,1,0,4,1,13,0.21428571428571427,1.0
2,Brittany Brown,5,11,3,7,2,4,0,0,2,1,1,0,0,0,5,12,0.0,0.0
3,Adut Bulgak,4,8,2,3,2,5,1,2,2,4,1,1,0,2,3,11,0.125,0.5
4,Maegan Conwright,2,5,1,4,1,1,2,2,0,0,0,0,0,2,4,7,0.4,0.0
10,School Totals,25,59,17,43,8,16,16,21,13,16,13,4,1,12,26,74,0.2711864406779661,1.0833333333333333
