,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aerial Powers,11,21,7,14,4,7,1,3,2,7,4,2,1,1,1,27,0.047619047619047616,4.0
1,Jasmine Hines,9,12,9,12,0,0,6,7,5,2,0,1,1,3,3,24,0.5,0.0
2,Branndais Agee,3,7,3,6,0,1,0,0,0,6,1,0,0,0,2,6,0.0,0.0
3,Tori Jankoska,3,9,2,4,1,5,0,0,0,3,1,2,1,1,3,7,0.0,1.0
4,Akyah Taylor,1,5,1,5,0,0,0,0,2,1,1,0,0,2,1,2,0.0,0.5
11,School Totals,31,66,26,53,5,13,7,10,10,27,10,5,3,10,15,74,0.10606060606060606,1.0
