,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Morgan Bailey,7,14,7,12,0,2,1,1,4,6,0,1,0,1,4,15,0.07142857142857142,0.0
1,Lexi Rydalch,6,13,6,13,0,0,2,5,1,5,2,1,0,11,4,14,0.15384615384615385,0.18181818181818182
2,Makenzi Pulsipher,3,8,2,5,1,3,2,2,0,1,2,1,1,4,2,9,0.25,0.5
3,Kylie Maeda,0,4,0,1,0,3,0,0,1,1,1,0,1,6,2,0,0.0,0.16666666666666666
4,Xojian Harry,1,2,1,1,0,1,0,0,0,0,1,1,0,2,4,2,0.0,0.5
11,School Totals,21,48,20,37,1,11,10,14,6,19,10,4,2,30,23,53,0.20833333333333334,0.3333333333333333
