,Auburn ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Unique Thompson,3,10,3,10,0,0,4,5,11,8,1,1,0,0,1,10,0.4,0.0
1,Janiah McKay,6,18,5,14,1,4,6,10,1,4,6,2,0,3,0,19,0.3333333333333333,2.0
2,Daisa Alexander,5,17,2,6,3,11,1,2,0,4,0,2,1,0,3,14,0.058823529411764705,0.0
3,Crystal Primm,5,8,5,8,0,0,1,2,2,0,0,1,0,2,3,11,0.125,0.0
4,Erin Howard,0,2,0,0,0,2,0,0,1,3,2,1,0,2,2,0,0.0,1.0
10,School Totals,24,75,20,48,4,27,12,20,17,23,10,14,1,10,17,64,0.16,1.0
