,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Imani Wright,2,15,2,5,0,10,0,0,2,4,3,0,0,3,3,4,0.0,1.0
1,AJ Alix,3,12,2,4,1,8,4,5,1,0,4,4,1,2,1,11,0.3333333333333333,2.0
2,Shakayla Thomas,10,15,10,15,0,0,5,10,2,3,0,0,0,4,3,25,0.3333333333333333,0.0
3,Chatrice White,1,7,0,6,1,1,2,2,3,3,1,1,0,1,3,5,0.2857142857142857,1.0
4,Ama Degbeon,2,4,2,4,0,0,0,0,5,2,1,0,0,3,4,4,0.0,0.3333333333333333
7,School Totals,23,68,20,43,3,25,16,22,19,14,11,7,1,17,24,65,0.23529411764705882,0.6470588235294118
