,Southern ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyric Scott,2,5,2,4,0,1,4,4,2,3,1,1,0,2,2,8,0.8,0.5
1,Skylar O'Bear,3,13,2,8,1,5,2,2,0,1,0,2,0,1,0,9,0.15384615384615385,0.0
2,Rishonti Cowart,1,4,0,2,1,2,0,0,0,0,0,0,0,1,4,3,0.0,0.0
3,Taneara Moore,0,3,0,3,0,0,0,0,1,0,0,1,0,4,4,0,0.0,0.0
4,Courtney Parsons,1,5,1,5,0,0,0,0,0,3,1,0,0,4,3,2,0.0,0.25
11,School Totals,15,55,10,39,5,16,11,12,5,18,6,6,2,26,27,46,0.2,0.23076923076923078
