,Hartford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diana Delva,5,9,5,8,0,1,2,4,4,3,1,0,3,3,4,12,0.2222222222222222,0.3333333333333333
1,Jackie Smith,0,9,0,4,0,5,0,0,0,1,3,2,0,4,4,0,0.0,0.75
2,Ruthanne Doherty,1,8,1,7,0,1,0,0,0,4,1,2,0,1,4,2,0.0,1.0
3,Jenna Peterson,0,1,0,1,0,0,0,0,1,3,1,1,0,0,3,0,0.0,0.0
4,Daphne Elliott,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0
12,School Totals,16,54,13,37,3,17,4,7,6,23,12,7,5,14,18,39,0.07407407407407407,0.8571428571428571
