,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kindred Wesemann,5,6,4,4,1,2,0,0,0,3,5,0,0,2,1,11,0.0,2.5
1,Breanna Lewis,3,7,3,7,0,0,3,6,2,2,0,0,1,2,2,9,0.42857142857142855,0.0
2,Kayla Goth,2,7,1,3,1,4,1,2,0,2,1,1,0,0,0,6,0.14285714285714285,0.0
3,Karyla Middlebrook,1,6,1,6,0,0,0,0,0,2,1,0,0,2,1,2,0.0,0.5
4,Peyton Williams,2,3,2,3,0,0,1,1,0,0,1,0,0,0,0,5,0.3333333333333333,0.0
11,School Totals,19,49,15,34,4,15,6,11,4,17,12,3,1,14,10,48,0.12244897959183673,0.8571428571428571
