,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chelsie Hall,3,5,3,4,0,1,0,0,0,3,0,0,0,1,1,6,0.0,0.0
1,Hailey Van Lith,8,15,7,13,1,2,3,3,3,1,0,3,0,1,1,20,0.2,0.0
2,Kianna Smith,6,10,3,4,3,6,0,0,1,1,5,1,1,1,0,15,0.0,5.0
3,Emily Engstler,6,11,6,9,0,2,5,5,1,6,2,7,2,1,2,17,0.45454545454545453,2.0
4,Olivia Cochran,4,4,4,4,0,0,2,6,3,1,1,1,0,1,0,10,0.5,1.0
13,School Totals,33,63,27,47,6,16,11,16,11,21,13,18,4,10,9,83,0.1746031746031746,1.3
