,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Julie Wojta,2,10,2,9,0,1,6,6,2,7,1,2,0,4,3,10,0.6,0.25
1,Celeste Hoewisch,5,8,5,7,0,1,13,15,1,4,2,4,0,6,5,23,1.625,0.3333333333333333
2,Sarah Eichler,1,3,1,2,0,1,2,4,0,7,0,1,0,5,2,4,0.6666666666666666,0.0
3,Kayla Tetschlag,3,8,3,5,0,3,8,9,4,3,3,0,1,3,5,14,1.0,1.0
4,Heather Golden,0,2,0,2,0,0,1,2,0,1,0,0,0,1,2,1,0.5,0.0
8,School Totals,16,44,13,31,3,13,34,40,8,27,10,9,1,30,23,69,0.7727272727272727,0.3333333333333333
