,Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Monica Wright,14,27,13,24,1,3,5,6,3,6,1,6,1,3,4,34,0.18518518518518517,0.3333333333333333
1,Chelsea Shine,2,8,2,8,0,0,1,2,1,1,0,1,2,4,4,5,0.125,0.0
2,Lexie Gerson,0,1,0,0,0,1,0,0,0,3,1,2,0,4,4,0,0.0,0.25
3,Jayna Hartig,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0.0,2.0
4,Simone Egwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
10,School Totals,25,67,23,57,2,10,15,23,14,20,10,22,3,19,28,67,0.22388059701492538,0.5263157894736842
