,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Christyn Williams,5,14,3,6,2,8,1,2,2,3,3,4,0,2,3,13,0.07142857142857142,1.5
1,Paige Bueckers,5,7,3,5,2,2,0,0,1,3,5,2,1,1,1,12,0.0,5.0
2,Aaliyah Edwards,3,6,3,6,0,0,1,2,2,4,2,2,0,2,3,7,0.16666666666666666,1.0
3,Azzi Fudd,3,4,0,1,3,3,0,0,1,1,0,1,0,1,2,9,0.0,0.0
4,Olivia Nelson-Ododa,2,6,2,6,0,0,2,2,4,4,2,1,1,3,1,6,0.3333333333333333,0.6666666666666666
11,School Totals,30,67,18,40,12,27,11,19,18,32,19,14,2,15,15,83,0.16417910447761194,1.2666666666666666
