,Saint Francis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Britney Hodges,5,22,2,8,3,14,3,4,0,4,3,4,0,6,1,16,0.13636363636363635,0.5
1,Samantha Leach,4,12,4,9,0,3,6,6,0,3,0,2,0,4,3,14,0.5,0.0
2,Allison Daily,2,10,0,3,2,7,0,0,2,5,2,2,2,2,1,6,0.0,1.0
3,Janie Killian,1,2,1,2,0,0,0,0,5,0,1,0,2,0,0,2,0.0,0.0
4,Quinessa Johnson,0,2,0,2,0,0,0,2,1,3,0,1,0,1,1,0,0.0,0.0
11,School Totals,20,70,13,40,7,30,12,18,14,19,10,12,5,18,11,59,0.17142857142857143,0.5555555555555556
