,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Prahalis,4,8,3,6,1,2,5,7,2,4,13,2,0,5,2,14,0.625,2.6
1,Brittany Johnson,7,12,3,4,4,8,0,0,0,3,2,1,0,2,2,18,0.0,1.0
2,Jantel Lavender,10,18,10,18,0,0,3,4,5,11,2,0,2,0,0,23,0.16666666666666666,0.0
3,Tayler Hill,3,8,3,5,0,3,2,3,3,1,3,1,1,1,0,8,0.25,3.0
4,Sarah Schulze,1,4,0,0,1,4,1,2,1,6,1,1,2,2,1,4,0.25,0.5
13,School Totals,37,75,31,58,6,17,13,18,18,34,26,10,6,15,14,93,0.17333333333333334,1.7333333333333334
