,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Azura Stevens,9,13,8,10,1,3,3,6,3,7,1,1,2,2,2,22,0.23076923076923078,0.5
1,Rebecca Greenwell,5,11,2,5,3,6,4,8,1,4,3,2,0,3,4,17,0.36363636363636365,1.0
2,Elizabeth Williams,5,12,5,12,0,0,2,8,3,6,4,0,2,3,3,12,0.16666666666666666,1.3333333333333333
3,Ka'lia Johnson,4,8,4,7,0,1,2,4,0,3,4,1,0,5,3,10,0.25,0.8
4,Amber Henson,0,1,0,0,0,1,0,0,0,3,3,0,2,0,4,0,0.0,0.0
7,School Totals,24,46,20,35,4,11,12,27,8,27,16,5,7,16,16,64,0.2608695652173913,1.0
