,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Dillingham,2,4,0,0,2,4,0,0,4,6,2,3,3,1,3,6,0.0,2.0
1,Breanna Richardson,1,7,1,6,0,1,1,3,3,0,2,0,1,4,3,3,0.14285714285714285,0.5
2,Martha Alwal,2,9,2,9,0,0,0,0,1,3,0,1,4,0,4,4,0.0,0.0
3,Victoria Vivians,5,17,2,6,3,11,2,2,2,4,0,0,0,2,5,15,0.11764705882352941,0.0
4,Jerica James,1,5,0,1,1,4,0,0,0,1,1,0,0,1,4,3,0.0,1.0
13,School Totals,18,59,8,28,10,31,10,13,11,17,11,5,9,10,23,56,0.1694915254237288,1.1
