,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelsey Bolte,39,.396,.361,.611,.111,0.0,11.4,5.0,0.0,1.6,3.3,9.6,30.9,74,88
1,Denae Stuckey,37,.678,.750,.500,1.000,6.4,20.0,12.4,18.1,3.4,0.0,41.0,7.6,107,85
2,Alison Lacey,36,.380,.250,.500,.667,0.0,8.2,3.6,49.6,1.7,0.0,11.4,28.1,93,91
3,Anna Prins,23,.813,.813,.375,.000,0.0,12.9,5.7,0.0,0.0,11.2,11.1,22.6,124,86
4,Chelsea Poppens,21,.565,.667,.000,1.000,16.8,35.3,25.0,0.0,3.0,0.0,31.6,17.4,89,83
6,Whitney Williams,16,.000,.000,.667,.000,0.0,27.8,12.3,26.3,0.0,0.0,0.0,10.8,40,91
7,Jessica Schroll,15,.769,.833,.333,2.000,15.7,19.8,17.5,19.5,0.0,0.0,0.0,21.7,171,93
8,Amanda Zimmerman,13,.500,.500,.000,.000,9.0,11.4,10.1,0.0,0.0,0.0,0.0,8.9,118,94
9,School Totals,200,.492,.451,.471,.412,23.5,85.2,50.8,68.4,7.8,9.7,12.9,100.0,93.8,87.5
