,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Thomas,1,2,1,1,0,1,0,0,0,1,2,4,2,1,3,2,0.0,2.0
1,Shaina Pellington,10,19,8,13,2,6,8,13,0,3,4,4,0,0,2,30,0.42105263157894735,0.0
2,Lauren Ware,3,6,3,5,0,1,3,4,0,7,2,1,1,0,3,9,0.5,0.0
3,Bendu Yeaney,1,5,1,4,0,1,2,4,0,1,1,1,0,1,5,4,0.4,1.0
4,Cate Reese,6,12,5,10,1,2,3,5,1,2,1,1,0,2,3,16,0.25,0.5
13,School Totals,25,56,21,40,4,16,18,28,2,19,10,11,3,7,21,72,0.32142857142857145,1.4285714285714286
