,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Drake,16,14,24,10,12,76
1,Missouri,21,12,19,12,13,77
