,St. Bonaventure ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Jenkins,7,17,1,5,6,12,2,3,3,1,0,0,0,3,4,22,0.11764705882352941,0.0
1,Doris Ortega,5,12,5,12,0,0,3,3,5,5,1,0,0,1,0,13,0.25,1.0
2,Alaina Walker,2,3,2,3,0,0,1,2,3,4,4,0,0,2,2,5,0.3333333333333333,2.0
3,Armelia Horton,5,6,5,6,0,0,0,2,1,3,2,0,0,3,4,10,0.0,0.6666666666666666
4,Megan Van Tatenhove,2,7,2,7,0,0,2,2,0,6,1,1,0,3,3,6,0.2857142857142857,0.3333333333333333
9,School Totals,23,51,16,36,7,15,13,18,13,24,9,2,0,13,18,66,0.2549019607843137,0.6923076923076923
