,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Corielle Yarde,5,12,2,5,3,7,0,0,1,2,4,0,1,1,1,13,0.0,4.0
1,Leanne Ockenden,2,8,1,2,1,6,1,2,0,1,2,1,0,0,3,6,0.125,0.0
2,Brandy Gang,5,10,2,5,3,5,6,6,1,2,1,0,1,1,2,19,0.6,1.0
3,Elizabeth Beynnon,4,8,4,7,0,1,4,6,1,5,1,0,2,2,4,12,0.5,0.5
4,Casey Dulin,1,5,1,4,0,1,5,5,1,0,2,3,0,3,4,7,1.0,0.6666666666666666
8,School Totals,20,50,13,29,7,21,16,19,6,15,10,6,4,8,17,63,0.32,1.25
