,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kaleena Mosqueda-Lewis,40,.579,.583,.583,.167,9.4,5.3,7.1,0.0,1.5,3.8,23.7,22.2,93,90,
1,Moriah Jefferson,40,.500,.500,.533,.000,0.0,7.9,4.3,26.3,5.9,0.0,16.7,23.7,100,80,
2,Morgan Tuck,40,.416,.385,.231,.231,6.3,7.9,7.1,33.3,1.5,0.0,17.3,22.8,98,90,
3,Breanna Stewart,39,.500,.500,.125,.000,9.6,32.4,22.0,0.0,3.0,7.9,11.1,12.1,104,65,
4,Kia Nurse,28,.411,.350,.400,.200,4.5,7.5,6.1,0.0,2.1,0.0,8.4,22.3,89,89,
6,Kiah Stokes,10,1.000,1.000,.000,.000,12.5,10.5,11.4,23.5,5.9,0.0,0.0,10.5,207,78,
7,Gabby Williams,3,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0,99,
8,School Totals,200,.490,.475,.377,.115,31.3,60.5,47.1,52.0,14.7,11.5,15.7,100.0,92.6,77.9,
