,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Connecticut ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kaleena Mosqueda-Lewis,40,6,12,.500,4,5,.800,2,7,.286,1,2,.500,3,2,5,0,1,2,4,3,15
1,Moriah Jefferson,40,6,15,.400,3,7,.429,3,8,.375,0,0,,0,3,3,5,4,0,3,2,15
2,Morgan Tuck,40,4,13,.308,2,10,.200,2,3,.667,2,3,.667,2,3,5,7,1,0,3,0,12
3,Breanna Stewart,39,4,8,.500,4,7,.571,0,1,.000,0,0,,3,12,15,0,2,4,1,1,8
4,Kia Nurse,28,3,10,.300,2,6,.333,1,4,.250,2,2,1.000,1,2,3,0,1,0,1,2,9
6,Kiah Stokes,10,2,2,1.000,2,2,1.000,0,0,,0,0,,1,1,2,1,1,0,0,1,4
7,Gabby Williams,3,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
8,School Totals,200,25,61,.410,17,38,.447,8,23,.348,5,7,.714,10,23,33,13,10,6,12,10,63
