,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chloe Jackson,13,25,13,25,0,0,0,0,0,2,5,2,0,1,4,26,0.0,5.0
1,Juicy Landrum,3,12,1,5,2,7,0,0,0,3,6,0,2,0,2,8,0.0,0.0
2,Kalani Brown,10,16,10,16,0,0,0,5,6,7,1,0,2,4,3,20,0.0,0.25
3,Lauren Cox,3,6,3,6,0,0,2,2,0,8,2,1,3,1,1,8,0.3333333333333333,2.0
4,DiDi Richards,3,5,3,5,0,0,0,0,1,0,6,2,0,0,4,6,0.0,0.0
7,School Totals,39,73,37,66,2,7,2,7,11,24,21,5,8,8,20,82,0.0273972602739726,2.625
