,Hampton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jericka Jenkins,4,16,3,11,1,5,0,0,0,1,4,3,0,2,0,9,0.0,2.0
1,Alyssa Bennett,7,20,7,20,0,0,5,8,2,2,1,2,0,1,1,19,0.25,1.0
2,Choicetta McMillian,1,5,0,1,1,4,0,0,2,0,3,2,0,0,1,3,0.0,0.0
3,Ariel Phelps,0,1,0,1,0,0,1,2,1,5,0,2,0,0,3,1,1.0,0.0
4,Keiara Avant,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
9,School Totals,20,63,18,51,2,12,9,17,10,12,8,14,1,6,11,51,0.14285714285714285,1.3333333333333333
