,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kamille Wahlin,2,9,2,4,0,5,0,0,0,2,3,1,0,5,1,4,0.0,0.6
1,Kachine Alexander,11,16,9,13,2,3,3,4,0,6,3,2,1,2,2,27,0.1875,1.5
2,Kelly Krei,2,8,0,2,2,6,0,0,1,3,0,2,0,0,4,6,0.0,0.0
3,Jaime Printy,4,8,3,5,1,3,0,0,0,0,1,0,0,1,0,9,0.0,1.0
4,Morgan Johnson,2,6,2,6,0,0,2,2,1,1,0,0,1,1,1,6,0.3333333333333333,0.0
10,School Totals,27,61,20,38,7,23,6,9,10,17,13,5,2,14,13,67,0.09836065573770492,0.9285714285714286
