,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Monique Billings,7,17,7,17,0,0,6,8,6,4,1,3,3,2,0,20,0.35294117647058826,0.5
1,Jordin Canada,3,10,1,7,2,3,2,2,0,2,11,3,0,2,2,10,0.2,5.5
2,Kennedy Burke,5,8,3,5,2,3,3,4,3,0,2,1,0,2,2,15,0.375,1.0
3,Kelli Hayes,2,7,1,3,1,4,0,0,1,2,1,1,0,1,2,5,0.0,1.0
4,Lajahna Drummer,4,7,3,5,1,2,0,0,0,4,1,0,0,0,2,9,0.0,0.0
9,School Totals,26,60,18,45,8,15,11,14,11,21,20,9,3,7,14,71,0.18333333333333332,2.857142857142857
