,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Blair Schaefer,6,9,2,2,4,7,5,6,0,5,2,0,0,2,2,21,0.5555555555555556,1.0
1,Teaira McCowan,3,9,3,9,0,0,3,8,5,8,1,1,4,2,3,9,0.3333333333333333,0.5
2,Morgan William,3,8,3,7,0,1,0,0,0,1,5,0,0,3,3,6,0.0,1.6666666666666667
3,Roshunda Johnson,4,10,1,4,3,6,2,2,1,1,1,3,0,1,2,13,0.2,1.0
4,Ketara Chapel,1,3,1,3,0,0,2,2,2,1,1,0,0,1,2,4,0.6666666666666666,1.0
13,School Totals,36,82,24,60,12,22,26,39,22,31,22,11,7,21,21,110,0.3170731707317073,1.0476190476190477
