,Troy ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Daija Williams,1,5,1,4,0,1,0,0,2,3,0,2,0,1,3,2,0.0,0.0
1,Amanda Mendoza,2,7,2,2,0,5,0,0,0,0,1,0,0,3,1,4,0.0,0.3333333333333333
2,Claresa Banks,6,12,3,5,3,7,0,0,0,0,0,1,0,1,3,15,0.0,0.0
3,Caitlyn Ramirez,2,5,2,3,0,2,1,2,0,4,3,0,0,5,5,5,0.2,0.6
4,ArJae' Saunders,2,7,0,4,2,3,0,0,1,1,2,0,0,1,0,6,0.0,2.0
15,School Totals,25,80,20,49,5,31,14,20,15,22,16,5,2,28,29,69,0.175,0.5714285714285714
