,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nyeshia Stevenson,6,10,1,2,5,8,4,4,0,1,3,2,0,2,0,21,0.4,1.5
1,Danielle Robinson,6,21,6,21,0,0,3,3,1,4,7,1,0,6,3,15,0.14285714285714285,1.1666666666666667
2,Amanda Thompson,6,16,6,14,0,2,1,1,4,7,5,2,2,2,3,13,0.0625,2.5
3,Abi Olajuwon,9,13,9,13,0,0,2,3,7,7,1,0,1,2,2,20,0.15384615384615385,0.5
4,Jasmine Hartman,2,7,0,4,2,3,0,0,1,3,5,1,0,3,2,6,0.0,1.6666666666666667
7,School Totals,30,70,23,56,7,14,10,11,14,26,21,7,5,16,14,77,0.14285714285714285,1.3125
