,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aaryn Ellenberg,12,22,5,7,7,15,5,5,0,3,3,4,1,3,3,36,0.22727272727272727,1.0
1,Morgan Hook,3,13,1,5,2,8,3,4,1,1,3,0,0,5,1,11,0.23076923076923078,0.6
2,Sharane Campbell-Olds,6,11,5,8,1,3,9,9,5,5,3,1,0,1,4,22,0.8181818181818182,3.0
3,Kaylon Williams,5,7,5,7,0,0,2,2,6,3,1,1,2,1,5,12,0.2857142857142857,1.0
4,Nicole Kornet,3,8,1,2,2,6,0,0,2,1,1,0,0,0,3,8,0.0,0.0
11,School Totals,34,73,22,40,12,33,20,21,17,17,13,7,7,15,21,100,0.273972602739726,0.8666666666666667
