,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Rogowski,8,16,4,6,4,10,4,4,1,7,3,1,2,2,0,24,0.25,1.5
1,Chanise Jenkins,7,12,5,8,2,4,5,5,0,4,4,2,0,3,2,21,0.4166666666666667,1.3333333333333333
2,Megan Podkowa,5,8,4,6,1,2,2,2,2,4,1,0,3,2,4,13,0.25,0.5
3,Brittany Hrynko,6,11,2,5,4,6,3,5,0,1,5,0,0,4,3,19,0.2727272727272727,1.25
4,Jasmine Penny,4,9,4,9,0,0,3,5,2,4,4,0,0,3,5,11,0.3333333333333333,1.3333333333333333
9,School Totals,36,67,25,44,11,23,21,26,9,21,20,8,5,16,21,104,0.31343283582089554,1.25
