,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Brunner,7,18,7,17,0,1,6,8,4,5,4,1,0,1,4,20,0.3333333333333333,4.0
1,Reili Richardson,6,11,4,7,2,4,2,2,0,2,1,0,0,6,2,16,0.18181818181818182,0.16666666666666666
2,Sabrina Haines,3,4,0,0,3,4,3,3,0,0,0,0,0,3,3,12,0.75,0.0
3,Kelsey Moos,1,3,1,2,0,1,0,0,1,5,0,2,0,1,3,2,0.0,0.0
4,Quinn Dornstauder,2,5,2,5,0,0,3,5,2,3,2,3,0,2,4,7,0.6,1.0
10,School Totals,24,59,19,48,5,11,15,20,12,21,14,8,0,15,23,68,0.2542372881355932,0.9333333333333333
