,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Darby Maggard,4,12,0,1,4,11,0,0,0,3,1,0,0,0,2,12,0.0,0.0
1,Kylee Smith,7,12,4,7,3,5,3,4,1,6,5,1,0,6,3,20,0.25,0.8333333333333334
2,Jenny Roy,0,4,0,4,0,0,1,2,5,3,4,0,0,3,5,1,0.25,1.3333333333333333
3,Sally McCabe,6,12,5,10,1,2,1,4,1,1,1,1,4,1,3,14,0.08333333333333333,1.0
4,Sierra Jones,0,1,0,1,0,0,0,0,3,1,1,0,0,4,3,0,0.0,0.25
8,School Totals,21,54,10,26,11,28,5,10,11,21,13,2,4,15,22,58,0.09259259259259259,0.8666666666666667
