,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,3,10,3,6,0,4,7,9,0,5,5,2,0,1,1,13,0.7,5.0
1,Leaonna Odom,11,18,11,18,0,0,3,5,3,3,4,2,1,0,3,25,0.16666666666666666,0.0
2,Erin Mathias,3,8,3,8,0,0,4,4,1,4,2,1,2,3,3,10,0.5,0.6666666666666666
3,Rebecca Greenwell,5,12,1,5,4,7,4,4,1,3,0,3,0,2,3,18,0.3333333333333333,0.0
4,Faith Suggs,1,4,1,2,0,2,4,6,5,3,1,1,0,1,1,6,1.0,1.0
9,School Totals,23,55,19,41,4,14,22,28,10,19,13,9,4,8,15,72,0.4,1.625
