,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elle Tinkle,4,7,3,5,1,2,5,7,5,2,3,1,0,0,1,14,0.7142857142857143,0.0
1,Sunny Greinacher,6,15,6,15,0,0,0,0,0,5,2,4,0,2,2,12,0.0,1.0
2,Georgia Stirton,2,5,2,4,0,1,3,4,0,4,0,2,0,3,2,7,0.6,0.0
3,Keani Albanez,4,7,4,5,0,2,4,4,0,4,1,2,0,3,2,12,0.5714285714285714,0.3333333333333333
4,Shelby Cheslek,2,3,2,3,0,0,0,0,2,1,1,0,1,2,4,4,0.0,0.5
12,School Totals,29,58,27,49,2,9,16,21,9,20,10,11,2,13,14,76,0.27586206896551724,0.7692307692307693
