,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,2,10,1,1,1,9,2,3,0,2,6,4,0,6,0,7,0.2,1.0
1,Jamie Weisner,7,15,3,5,4,10,6,8,1,2,1,0,0,4,3,24,0.4,0.25
2,Deven Hunter,4,6,3,4,1,2,3,5,4,6,4,1,1,2,4,12,0.5,2.0
3,Ruth Hamblin,4,7,4,7,0,0,1,2,1,3,0,0,3,2,2,9,0.14285714285714285,0.0
4,Ali Gibson,3,6,0,2,3,4,1,2,0,1,0,1,0,0,1,10,0.16666666666666666,0.0
10,School Totals,21,51,12,24,9,27,13,20,9,17,13,8,4,18,19,64,0.2549019607843137,0.7222222222222222
