,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brady Sanders,3,6,2,2,1,4,2,4,0,5,5,0,0,5,1,9,0.3333333333333333,1.0
1,Imani Boyette,10,13,10,13,0,0,4,4,8,7,2,1,2,1,2,24,0.3076923076923077,2.0
2,Empress Davenport,3,8,3,8,0,0,1,2,1,2,4,0,0,2,2,7,0.125,2.0
3,Celina Rodrigo,0,4,0,0,0,4,0,0,1,2,4,0,0,2,0,0,0.0,2.0
4,Brianna Taylor,4,6,4,6,0,0,0,0,0,1,0,0,0,1,2,8,0.0,0.0
10,School Totals,28,59,27,46,1,13,9,13,16,32,15,2,3,18,15,66,0.15254237288135594,0.8333333333333334
