,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Whitney Hand,4,11,2,4,2,7,2,2,3,7,6,2,0,2,2,12,0.18181818181818182,3.0
1,Morgan Hook,5,13,2,5,3,8,0,0,0,1,4,1,0,3,0,13,0.0,1.3333333333333333
2,Aaryn Ellenberg,10,18,5,7,5,11,3,5,1,4,4,0,0,0,2,28,0.16666666666666666,0.0
3,Nicole Griffin,4,7,4,7,0,0,2,4,3,4,0,1,2,0,3,10,0.2857142857142857,0.0
4,Kaylon Williams,5,5,5,5,0,0,0,1,4,5,1,2,0,3,3,10,0.0,0.3333333333333333
10,School Totals,34,69,24,40,10,29,10,18,14,25,22,10,2,8,13,88,0.14492753623188406,2.75
